,label,text,tense,direction,over-polarity
754,shame,When I realized that I was pregnant.  I thought about what my relatives and friends would think about me and I felt a lot of self pity.,,xxsel,xxneg
755,joy,I had gone camping with my old classmates and there was a storm.  We were in a flurry but at that time I felt the love and concern of my friends.,xxpre xxpas xxfut,xxsel xxoth,xxpos
756,shame,Sincerely I'm a very timid guy and so even in very simple situations sometimes I am ashamed.,,xxsel,xxneg
757,fear,"""I and my cousin went to a filmshow at night. We went without making it known to my mother. While we were there at interval, I came across my mother just close to where we sat.""",xxfut xxpas,xxsel,xxneg
758,guilt,A friend wanted to give me a surprise into my room and I thought she was stealing from the room.,xxpre xxpas xxfut,xxoth,xxneg
759,anger,In certain occasion I have a fight with my boyfriend. During the fight I closed the door at his face. He went away but came back next day.,,xxoth,xxneg
760,shame,When I was little - Mum caught me telling a lie about who broke the cup.,,xxsel,xxneg
761,fear,"""Climbing a mountain to see a view, towards the top we suddenly came across a ledge with a nearly sheer drop on either side, which I had to cross.""",xxfut xxpas,xxsel,xxneg
762,fear,"""I felt fear when once I was asleep and dreamed that I was dying asfixiated by a cardiac attack, I was afraid and woke up desperate. Altough I wasn't afraid of death I was afraid.""",xxfut xxpas,xxsel,xxneg
763,sadness,When I thought that it was going to be impossible for me to start studying (due to wrong information from the student advisor).,xxpre xxpas,xxsel,xxneg
764,disgust,Seeing persons spending money in a shopping center with completely indifference to the misery reigning in our country.,xxpre xxpas xxfut,xxoth,xxneg
765,disgust,When I got to know the details if the famine in East Africa.,xxpre xxpas xxfut,xxoth,xxneg
766,disgust,I was dancing Malipenga (traditional dance). I exaggerated the steps I was supposed to make in the negative way. This happened in front of spectators. It was bad for our Boma (group) because I was on the front line where ability is displayed and it is this ability that counts when choosing the winning side.,xxpre xxpas xxfut,xxoth,xxneg
767,disgust,I was working in a classmate's house with a group. A girl began to graze her foot against mine under the table.,xxpre xxpas xxfut,xxoth,xxneg
768,anger,"""When my mother and father split up I was angry: I felt deprived and """"different"""" from other children at school.""",,xxoth,xxneg
769,shame,"""When I was caught telling a white lie.  At that time, I was not allowed to stay outdoors after 8 p.m.  One day when I was late, I made up a story that our neighbour had invited me to his place, though I had actually forgotten about the time while playing with my pals.""",,xxsel,xxneg
770,anger,I can't remember being truly angry. Usually it's just disappointment that I feel. One situation would be with my brother. He and I used to be close but now he seems to be avoiding me.,,xxoth,xxneg
771,guilt,Being rude to someone I do not like.,xxpre xxpas xxfut,xxoth,xxneg
772,shame,"""For example, to feel bad because of one's attire, to be among people who do not belong to the same social class, to give a wrong answer in class, to be surprised in particular situations.""",,xxsel,xxneg
773,joy,When my brother who has been out of New Zealand for 10 years came to visit with his wife which none of our family had previously met.,xxpre xxpas xxfut,xxsel xxoth,xxpos
774,shame,My aunt phoned me to ask me why I had refused the her invitation to dinner at her home on the New Year's Eve.,,xxsel,xxneg
775,fear,"""My boyfriend hinted over the phone about wanting to """"be free"""".  He thus did not say it point blank, silence followed.""",xxfut xxpas,xxsel,xxneg
776,joy,On meeting an old friend of mine.,xxpre xxpas xxfut,xxsel xxoth,xxpos
777,joy,When I was admitted to the University.,xxpre xxpas xxfut,xxsel xxoth,xxpos
778,shame,I thought of myself as being clumsy when I made love for the first time with a girl.,,xxsel,xxneg
779,disgust,When a boy had continued to use foul language and swearing in front of a group of my friends.,xxpre xxpas xxfut,xxoth,xxneg
780,joy,When I heard what mark I had got at the entrance examination and I realized my admittance to the University was almost certain.,xxpre xxpas xxfut,xxsel xxoth,xxpos
781,guilt,I was very angry with a girlfriend for interferring a little too much with my personal affairs. I told her so rather strongly and she started crying.,xxpre xxpas xxfut,xxoth,xxneg
782,anger,When my friend (girl) promised to help me go to the hospital and be examined by good experts and she deceived me.,,xxoth,xxneg
783,joy,"""Occurs frequently. A recent experience: when going out with many friends, nice music, after the examinations, I felt so happy I could have embraced everybody.""",xxpre xxpas xxfut,xxsel xxoth,xxpos
784,guilt,I told my pesent boyfriend that I was an Australian as are my parents. As the relationship developed I found it harder and harder to confess and became sure it would end our relationship. He eventually found out when told in front of me by my mother.,xxpre xxpas xxfut,xxoth,xxneg
785,guilt,I had told my boyfriend that I did not want to go on with our relationship.  I knew that I was important to him but I wanted to be free.  I saw that this was difficult for him but I remained firm and did not change my mind.,xxpre xxpas xxfut,xxoth,xxneg
786,shame,When coming up for trial because of shop lifting.,,xxsel,xxneg
787,sadness,"""A relationship in which I had put my trust, broke up.  I was sad when I realized how easy it is to forget something that one had once regarded as great and significant.""",xxpre xxpas,xxsel,xxneg
788,sadness,"""When it suddenly appeared that our dog was dangerously ill and probably would die. We had not expected this because he was always very healthy. Fortunately he survived because we, in turn, gave him medicines during the night.""",xxpre xxpas,xxsel,xxneg
789,shame,"""This was when I was discovered stealing a piece of bread at home, I was very hungry a few hours before supper.""",,xxsel,xxneg
790,shame,When I went to explain to a lecturer whom I liked that the work expected of me was not going to be in.,,xxsel,xxneg
791,shame,At school - being whipped by the teacher in front of the class.,,xxsel,xxneg
792,shame,"""When I was found urinating, behind a toilet instead of inside it, by my class mates and the teachers.  I was told to pick up my own urine from the wet soil, I did it.""",,xxsel,xxneg
793,anger,"""I had an appointment downtown, and the person in question was half an hour late.""",,xxoth,xxneg
794,joy,"""Talkiing about the past happy hours with two friends at night in a camp a few months ago.  We shared our feelings, notions and every hidden anxiety.  I thought that they cared for me and I was very happy and satified.""",xxpre xxpas xxfut,xxsel xxoth,xxpos
795,guilt,"""I """"snapped"""" very abruptly at my mother when she said something silly and stupid, (in front of other people) she looked so defenceless & hurt & told them that I'm always doing that.""",xxpre xxpas xxfut,xxoth,xxneg
796,shame,My companion admired me when I did some work voluntarily.,,xxsel,xxneg
797,fear,Practicing wind-surf my body was caught under the sail. On trying to get out my leg was caught in the lashing. I was afraid of dying by asphixia.,xxfut xxpas,xxsel,xxneg
798,anger,My boy-friend came home late one night without having told me about it before.,,xxoth,xxneg
799,shame,When a group of friends began to make critics about me.,,xxsel,xxneg
800,disgust,At the hypocrisy of some of my friends.,xxpre xxpas xxfut,xxoth,xxneg
801,shame,When I excreted on the mat instead of the potty.,,xxsel,xxneg
802,anger,"""I confronted with this feeling at the Institute quite recently, the pedology lecturer was the cause.""",,xxoth,xxneg
803,fear,"""I was alone at home, a man forced the front door which was locked, forced and tried to open a window.""",xxfut xxpas,xxsel,xxneg
804,anger,When I saw a few people beating a man who seemed to be a stranger.,,xxoth,xxneg
805,anger,Someone borrowed my textbook and deliberately did not return it.,,xxoth,xxneg
806,fear,"""A late Saturday night I found myself locked in the central underground station of Stockholm with a group of 50 hard rockers who were drunk and equipped with various kinds of chains, etc.""",xxfut xxpas,xxsel,xxneg
807,guilt,I felt guilty when I couldn't help a person.,xxpre xxpas xxfut,xxoth,xxneg
808,guilt,Not thanking relatives for a favor done.,xxpre xxpas xxfut,xxoth,xxneg
809,sadness,My roommate's sister committed suicide.,xxpre xxpas,xxsel,xxneg
810,guilt,"""When I talked to another student about the notes she got last semester, not knowing that she got a lot of bad grades.""",xxpre xxpas xxfut,xxoth,xxneg
811,guilt,"""When I got associated with a boy one year ago, I neglected my best friend. When the relation with this boy finished she behaved very easy-going towards me. I felt guilty then.""",xxpre xxpas xxfut,xxoth,xxneg
812,guilt,"""I bought something and the shopkeeper gave me more change, I realized this after I had left the shop and was on the bus-stop - and I then needed the money.""",xxpre xxpas xxfut,xxoth,xxneg
813,anger,Somebody was blaming me of a story which was not real and not true.,,xxoth,xxneg
814,guilt,Not helping parents enough at home and at the farm - this has happened many times.,xxpre xxpas xxfut,xxoth,xxneg
815,anger,I had just seen my pseudo-girlfriend and our conversation angered me greatly.,,xxoth,xxneg
816,shame,I felt ashamed when in a certain occasion I had to read a text and didn't stop stuttering.,,xxsel,xxneg
817,disgust,Seeing a person panhandling money on Telegraph.,xxpre xxpas xxfut,xxoth,xxneg
818,disgust,When I had to dissect a live mouse at school.,xxpre xxpas xxfut,xxoth,xxneg
819,anger,When I heard that my girlfriend was talking behind my back and looking down on me.,,xxoth,xxneg
820,anger,I am currently taking CS 50P. I had to finish a couple of assignments but I was hindered because I could not get a passing score on my program.,,xxoth,xxneg
821,joy,When I found out that I can travel with my best friend.,xxpre xxpas xxfut,xxsel xxoth,xxpos
822,fear,When I got in jungle where there was a great number of snakes.,xxfut xxpas,xxsel,xxneg
823,fear,Canoeing across harbour in winds - 20 knots and rising seas.,xxfut xxpas,xxsel,xxneg
824,fear,"""I had not told my parents about my bad marks in school. One day, my father wanted to speak to the teachers. Fortunately I could influence my parents to take it easy.""",xxfut xxpas,xxsel,xxneg
825,anger,"""My parents are divorced, father pays alimony for me. Two years ago my sister who lives with father, suddenly asked mother for money. As she considered the amount of money my mother offered her too small, she brought an action against mother. I was terribly angry with my sister.""",,xxoth,xxneg
826,disgust,When I saw a wino by some cans with Food Stamps and use the change to buy wine.,xxpre xxpas xxfut,xxoth,xxneg
827,guilt,When a mistake occurred at work which I was not responsible for.  This was disclosed later.,xxpre xxpas xxfut,xxoth,xxneg
828,disgust,I was disgusted when my little sister had been hit badly by her friends.,xxpre xxpas xxfut,xxoth,xxneg
829,shame,I had reacted angrily at a friend for no fault of his.  I had raised my voice and had not cared for his opinion.,,xxsel,xxneg
830,anger,"""When they broke the artistic work of several weeks.  Changes were made and it was broken without permission, they had no right to do this.""",,xxoth,xxneg
831,disgust,When my cat vomited and a worm came out which was still alive.  I was forced to wipe it up.,xxpre xxpas xxfut,xxoth,xxneg
832,joy,"""When I was back home after a long time, meeting beloved people and close friends.""",xxpre xxpas xxfut,xxsel xxoth,xxpos
833,anger,"""Getting terrible meals, but paying heaps for them.""",,xxoth,xxneg
834,joy,"""Unexpectedly I met some persons who I like very much. Spontaneously they invited me and integrated me within their group, although it was late in the evening.""",xxpre xxpas xxfut,xxsel xxoth,xxpos
835,disgust,Someone ruining someone's property just for the fun of it.,xxpre xxpas xxfut,xxoth,xxneg
836,anger,When the coach of our team degraded me to the second team.,,xxoth,xxneg
837,sadness,The loss of a very good friend.,xxpre xxpas,xxsel,xxneg
838,anger,"""When I came back to my hostel, my bed was full of newspapers and dirty clothes.  My room-mate asked me to wash the clothes for him as he had no time (this was his responsibility).  The food we shared had been eaten up by him (I ate little).""",,xxoth,xxneg
839,anger,In the last year of the high school we had a huge fight between my group and the graduation commission (two students of my classroom) because they accused us unjustly of a gossip about them.,,xxoth,xxneg
840,sadness,I was driving near my girlfriend's house and I decided to keep going because it was late and I would be back in the next few days anyway. The next day she was killed in a road accident.,xxpre xxpas,xxsel,xxneg
841,shame,I was made a very sharp remark at a rehearsal.,,xxsel,xxneg
842,fear,"""When my brother went to shoot wild ducks, I feared that the boat would overturn and he would drown or that the gun would accidentally go off.""",xxfut xxpas,xxsel,xxneg
843,fear,My father had been involved in a car accident two years ago.  I was then very scared thinking that he would die as he lay unconscious in hospital for two weeks.,xxfut xxpas,xxsel,xxneg
844,fear,"""When we had swimming instruction, we had to take a header from the springboard. I usually refused to do that, but at least I was forced to.""",xxfut xxpas,xxsel,xxneg
845,shame,When I have a plain appearance.,,xxsel,xxneg
846,guilt,"""I had known the girl for a few months when I proposed to her and this put an end to our friendship, as from then on we started withdrawing from each other.  I liked her very much.""",xxpre xxpas xxfut,xxoth,xxneg
847,anger,I once was accused of falling in love with someone's girlfriend which was not true because the girl was just a friend of mine.,,xxoth,xxneg
848,shame,"""During our last exarcise in agricultural machines we went out in the yard to examine a row of machines. But we seemed not to have fulfilled our task well, because when our teacher came and asked me a question I was unable to answer. I felt awkward because he didn't deserve it.""",,xxsel,xxneg
849,anger,I missed the train and had to wait for the next for two hours. For this reason I missed an appointment which had been very important for me.,,xxoth,xxneg
850,guilt,I spied on my fiancT and was terribly jealous. Later I saw that there was no reason for that.,xxpre xxpas xxfut,xxoth,xxneg
851,disgust,"""Now that the 49ers are winners, the fans are coming out of the woodwork and jumping on the bandwagon and that disgusts me.""",xxpre xxpas xxfut,xxoth,xxneg
852,joy,Passed the last exam.,xxpre xxpas xxfut,xxsel xxoth,xxpos
853,joy,"""I felt it when on duty in the hospital I understood that I was not afraid to face death, that I also helped a little to relieve the pains of a patient.""",xxpre xxpas xxfut,xxsel xxoth,xxpos
854,sadness,I feel sadness from the fact that I was not born with a better appearance.,xxpre xxpas,xxsel,xxneg
855,anger,"""A few monthe ago, when my brother's wife told me that I had bad manners.  To make matters worse she did not let me use their telephone as she only allowed people of her own tribe.""",,xxoth,xxneg
856,sadness,Hearing about developments of sience in the West a lot better than China.,xxpre xxpas,xxsel,xxneg
857,fear,I had gone to the hospital for my research and got late in reaching home.  I feared that when I reached home there would be a quarrel because of my being late.,xxfut xxpas,xxsel,xxneg
858,fear,Beaten up by a classmate in school.,xxfut xxpas,xxsel,xxneg
859,disgust,"""At my grandmother's detestable and selfish conduct towards my elder sister, although her behavior was due to senility and lack of understanding.""",xxpre xxpas xxfut,xxoth,xxneg
860,fear,The first time that I saw a dead person.  This was when I started my gross anatomy practicals.,xxfut xxpas,xxsel,xxneg
861,fear,"""When I was on holiday, walking back to where I was staying, at night, and two men started closely following me. There was nobody around that I could run to.""",xxfut xxpas,xxsel,xxneg
862,disgust,"""I was on my way home by bus.  A man who had drunk a fair amount of alcohol started talking, trying to hug and pat a woman sitting next to him.  Fortunately it was not me.""",xxpre xxpas xxfut,xxoth,xxneg
863,anger,Korean judges cheating.,,xxoth,xxneg
864,shame,"""When I was in lower six I joined an interview group to interview the general public.  One of my friends in the group lost her purse and she was very nervous.  Five of us had to go another place so we left her, and planned to see her later.  Then I heard her describing how her purse looked.  I realized that I had seen her purse on the floor and had not wanted to do any thing about it. """,,xxsel,xxneg
865,fear,A neighbour's girl had disappeared and many people were looking for her.  Someone had gone to notify the police.  Something had certainly happened to her.,xxfut xxpas,xxsel,xxneg
866,disgust,Saw someone spitting in public.,xxpre xxpas xxfut,xxoth,xxneg
867,sadness,When my uncle died.,xxpre xxpas,xxsel,xxneg
868,disgust,I read a book about the sexual phantasies of women; I read about a woman having sexual intercourse with a dog.,xxpre xxpas xxfut,xxoth,xxneg
869,anger,In form three we were taking our mock exams and someone else (a friend) was making noise when the examinateur picked on me and said that he would tear up my answer sheet.  I got very angry with the girls involved.,,xxoth,xxneg
870,guilt,Eating too much I felt guilty afterwards because I knew I shouldn't have overeaten as I'm putting on too much weight.,xxpre xxpas xxfut,xxoth,xxneg
871,anger,Misunderstood deliberately by a close friend.,,xxoth,xxneg
872,guilt,While intoxicated I damaged my sister's car in a minor way and someone elses in a minor way.,xxpre xxpas xxfut,xxoth,xxneg
873,joy,"""When I recently managed to get my first consulting assignment """"myself"""" i.e on my own initiative.""",xxpre xxpas xxfut,xxsel xxoth,xxpos
874,fear,It was last week on Saturday night when I was at Mchesi. I feared to cross the Lilongwe River Bridge to come back to School due to darkness - until somebody had to escort me.,xxfut xxpas,xxsel,xxneg
875,sadness,"""I had to leave Den Helder and all friends and acquaintences, after having spend two weeks there with my friends.""",xxpre xxpas,xxsel,xxneg
876,shame,I felt shame when I discontinued my education for eight months. ,,xxsel,xxneg
877,shame,One night a friend found out that I dumped one girl for another and he proceded to lecture me.,,xxsel,xxneg
878,shame,"""Adultery with the girlfriend of a friend of mine, of which he learned.""",,xxsel,xxneg
879,sadness,I was sad when I saw that a beautiful girl was not attainable.,xxpre xxpas,xxsel,xxneg
880,sadness,When I learnt that a boy I liked had been with a girl for three years.,xxpre xxpas,xxsel,xxneg
881,disgust,The day I was forced to use a public convenience place in town.  It was so filthy that it really made me sick.,xxpre xxpas xxfut,xxoth,xxneg
882,joy,I met a girlfriend again after not seeing her for several months.  I saw her in a discotheque.  We do not like discotheques but we went there because we knew we would meet there.,xxpre xxpas xxfut,xxsel xxoth,xxpos
883,shame,When I overslept for the second time on the day I had an examination.,,xxsel,xxneg
884,joy,I felt joyful when I heard that I had been selected for College education.,xxpre xxpas xxfut,xxsel xxoth,xxpos
885,sadness,"""I finished the relationship with my boyfriend, after having felt myself very unhappy for a long time.""",xxpre xxpas,xxsel,xxneg
886,anger,"""I suffered from a gynaecological illness. I was quite displeased to hear that my roommates had talked about it and they had misrepresented the truth. I felt deeply hurt when I learned that it was done by a """"good"""" acquaintance of mine.""",,xxoth,xxneg
887,sadness,I did not quite succeed in breast feeding my baby.,xxpre xxpas,xxsel,xxneg
888,fear,Facing a mad dog.,xxfut xxpas,xxsel,xxneg
889,joy,At my wedding - standing with the man I love and acknowledging that fact to members of family and friends.,xxpre xxpas xxfut,xxsel xxoth,xxpos
890,sadness,During the Physics experiment session I did not understand the content of the experiment and did not know how to do it.,xxpre xxpas,xxsel,xxneg
891,sadness,Some months ago my wife gave birth to twin sisters. She had no idea of looking after babies and she felt quite oppressed. The fact that I couldn't help her caused grief to me.,xxpre xxpas,xxsel,xxneg
892,disgust,Disgust at myself when I stroked a sleeping girl's private parts.,xxpre xxpas xxfut,xxoth,xxneg
893,shame,When the literature teacher made me recite a poem in the middle of the class and I had to gesticulate.,,xxsel,xxneg
894,fear,A friend (female) and I were on holiday on Great Barrier Island by ourselves. One night we were nearly raped by about 20 locals - they came to our bach and tried to break the doors down. All of them were stoned or drunk and we hid under the bunks and were totally terrified. Eventually these guys gave up and went looking for us on the beach. We escaped and slept in the bush for 2 nights.,xxfut xxpas,xxsel,xxneg
895,shame,An exam where questions about very specific knowledge were asked.,,xxsel,xxneg
896,disgust,"""A friend once reacted childishly (he is 23 yearrs old) to my not responding in his favour to a request, that is: he asked me for some money I refused, and his reaction was quite childish.""",xxpre xxpas xxfut,xxoth,xxneg
897,anger,Someone told a lie that I had stolen his money.,,xxoth,xxneg
898,anger,"""After an exhausting day I came home and wanted to take a bath to relax. My father wanted to take a bath first and when he had finished after an hour, there was no hot water left for me.""",,xxoth,xxneg
899,shame,Failing university entrance examn.,,xxsel,xxneg
900,guilt,"""The death of my father made me feel quite guilty, because my attitude towards him had been cold and indifferent.""",xxpre xxpas xxfut,xxoth,xxneg
901,guilt,My grandmother has been in a hospital for a week and I still haven't had time to see her.,xxpre xxpas xxfut,xxoth,xxneg
902,disgust,I feel disgust with my first boyfriend who made fun of our love in an abominable way.,xxpre xxpas xxfut,xxoth,xxneg
903,guilt,I blew up at someone for being confused and because of his irresponsibility and afterwards I felt guilty and that I had no right.,xxpre xxpas xxfut,xxoth,xxneg
904,disgust,"""With my mouth full of bun, I drank directly from a packet of milk which turned out to be weeks old (completely separated).  It took a while for the milk to seep through the bun.""",xxpre xxpas xxfut,xxoth,xxneg
905,joy,"""My sister gave birth to twins, healthy ones.""",xxpre xxpas xxfut,xxsel xxoth,xxpos
906,guilt,I had a discussion with my girl-friend. After some time we started to quarrel and at least - to get the upper hand - I said that she was not as important to me as she might believe. Some time later I apologized for that.,xxpre xxpas xxfut,xxoth,xxneg
907,fear,"""Just before I started my study I had to move, I was very afraid to be left alone and that I could not manage it.""",xxfut xxpas,xxsel,xxneg
908,sadness,I remember being sad whe my aunt's child died (2 days old).,xxpre xxpas,xxsel,xxneg
909,fear,I had the window open and the door was shut so that the kitten would not go out.  My partner came in and started talking about something and I forgot about the window and suddenly I saw the kitten hanging from the window frame. I was rigid with fright till I got hold of her.,xxfut xxpas,xxsel,xxneg
910,disgust,I was double crossing Mercy and Maria. They one day came to know each other. I was found by Mercy red-haded when I was with Maria.,xxpre xxpas xxfut,xxoth,xxneg
911,guilt,I felt guilt when my friends were punished to slash grass at the gound because of making noise in class. I was in the group of noise-makers but I denied having done any noise.,xxpre xxpas xxfut,xxoth,xxneg
912,guilt,"""I was drunk one night and I insulted three ladies.  The following morning they approached me and asked me the reason behind my bahaviour, I apologized for my unruly behaviour.""",xxpre xxpas xxfut,xxoth,xxneg
913,anger,"""When I could not reason my friend, it angered me.""",,xxoth,xxneg
914,disgust,I felt disgusted when somebody told me that my previous boyfriend was her boyfriend.,xxpre xxpas xxfut,xxoth,xxneg
915,sadness,At the death of a close relative.,xxpre xxpas,xxsel,xxneg
916,guilt,Hurt someone's feelings unintentionally.,xxpre xxpas xxfut,xxoth,xxneg
917,anger,"""When my brother got very low marks in the exams, I was very angry. I put my studies aside to help him, as every time my brother does  badly at school, my family members blame me as well.""",,xxoth,xxneg
918,fear,When I broke the window pane of my next door neighbour's house.,xxfut xxpas,xxsel,xxneg
919,guilt,When I have to take exams I am very excited and have not much time for the housekeeping. Then my friend has to do everything.,xxpre xxpas xxfut,xxoth,xxneg
920,anger,"""In 1983 a sadist provoked my sister in my presence.  He tried to force my sister into accompanying him to his place, but my sister did not agree and so she was kicked and she fell down.  There was a fight.""",,xxoth,xxneg
921,disgust,"""When I was travelling to school by bus, I went past a place where a sewer had been repaired.  There was a bad strong smell which suffocated me and I wanted to leave the place immediately.""",xxpre xxpas xxfut,xxoth,xxneg
922,fear,One time I set up my journey at night going to a certain bar. On the way I met my friends and they told me that two people had died because of heavy fighting. I proceeded on but with fear.,xxfut xxpas,xxsel,xxneg
923,guilt,When I was face to face with my deceived friend after sleeping with his wife.,xxpre xxpas xxfut,xxoth,xxneg
924,joy,When I was accepted for my third year (G-10) at my former secondary school.,xxpre xxpas xxfut,xxsel xxoth,xxpos
925,sadness,Losing a pet chick. Our family had just put the chick outside a few days before and then one morning it was gone.,xxpre xxpas,xxsel,xxneg
926,fear,My friend will find out that I am in love with her.,xxfut xxpas,xxsel,xxneg
927,anger,"""A good friend deceived me. Because of that little quarrel our relationship finished, mainly because she was not honest. I was very angry about that.""",,xxoth,xxneg
928,disgust,When I see someone vomitting.,xxpre xxpas xxfut,xxoth,xxneg
929,guilt,Made a misjudgement in a football match.,xxpre xxpas xxfut,xxoth,xxneg
930,disgust,When I found out that the seat in the coach that I had booked had been sold to somebody else.,xxpre xxpas xxfut,xxoth,xxneg
931,fear,Before going to the dentist.,xxfut xxpas,xxsel,xxneg
932,fear,I feared that my dog's eye was infected too much. He had played around in the weeds and a foxtail had gotten under his eyelid. I took him to the vet and I feared that he may go blind because of the foxtail.,xxfut xxpas,xxsel,xxneg
933,shame,"""When I met a friend whom I had not seen for a long time and heard all about her troubles, I thought that I should have got in touch with her earlier.""",,xxsel,xxneg
934,joy,"""I had a singing-lesson, but I was not very good. The last exercise was singing scales. I did that very well and my teacher seemed satisfied.""",xxpre xxpas xxfut,xxsel xxoth,xxpos
935,joy,Can't remember specific event - besides just being moderately happy until a year or so ago.,xxpre xxpas xxfut,xxsel xxoth,xxpos
936,anger,I was really pissed when the Russians boycotted the '84 Olympics. I had anger towards them and Jimmy Crter. I was very anxious to see it.,,xxoth,xxneg
937,guilt,When I moved away from home.,xxpre xxpas xxfut,xxoth,xxneg
938,anger,"""When my girlfriend left me to go out with another guy, even though she knew that she was wrong.""",,xxoth,xxneg
939,fear,When going to the exam.,xxfut xxpas,xxsel,xxneg
940,joy,When I met an old schhol friend (school love) who works in Sk+vde.,xxpre xxpas xxfut,xxsel xxoth,xxpos
941,guilt,"""When I think about my family (parents, brothers, sisters) guilt is a part of my feelings.""",xxpre xxpas xxfut,xxoth,xxneg
942,anger,The patient whom I expected to get well suddenly passed away after he showed had his meals.,,xxoth,xxneg
943,disgust,"""Very intoxicated men who incite each other to fight.   I met a vile smelling man on the tram who got closer and closer to me till I got up, then he got angry.""",xxpre xxpas xxfut,xxoth,xxneg
944,shame,When my mum learnt that I had beaten up someone in a fight.,,xxsel,xxneg
945,joy,When I was pressing figures on the curtain cloth. I had bought the cloth after months of hindrances.,xxpre xxpas xxfut,xxsel xxoth,xxpos
946,sadness,"""A sudden doubt made me run for a long time in a rainy autumn night. When I reached the intended place I saw my beloved in another man's arms. A sudden blow, grief, I cannot qualify it, it is painful for me to remember about it.""",xxpre xxpas,xxsel,xxneg
947,sadness,When a close friend of mine who was with me in first year could not make it to the second year.,xxpre xxpas,xxsel,xxneg
948,shame,I felt ashamed when I was confronted by a teaching assistant that a close friend and I were accused of cheating on a math exam.,,xxsel,xxneg
949,shame,A month ago I turned in an English paper in late after I had already had a previous paper late and promised not to do it again.,,xxsel,xxneg
950,disgust,Once when I was babysitting for some neighbors children I found roaches in ther bathroom. I had never seen a roach before but I called my mother to make sure that's what they were. And she came over and checked.,xxpre xxpas xxfut,xxoth,xxneg
951,joy,When my last year's second semester results came through - I was ecstatic.,xxpre xxpas xxfut,xxsel xxoth,xxpos
952,anger,"""When anybody wants to make me feel guilty. For example: I should do something for my mother, but things didn't go as she hoped. Then she threatens: I'll do it myself.""",,xxoth,xxneg
953,fear,I overturned in a canoe a few years back and I didn't know how to swim. Although I had a life-jacket on I still panicked.,xxfut xxpas,xxsel,xxneg
954,guilt,When I shouted at my mother when she was nervous and depressed.,xxpre xxpas xxfut,xxoth,xxneg
955,anger,"""My sister came back home and reproached me for not having tidied up the house, although I had been working all morning and she had done nothing.""",,xxoth,xxneg
956,joy,"""The way this particular girl spoke, behaved, and reacted the first time I was introduced to her, I felt certain that something between us would materialize.""",xxpre xxpas xxfut,xxsel xxoth,xxpos
957,fear,When I was going to take the practical exams.,xxfut xxpas,xxsel,xxneg
958,shame,When I failed the grade seven exams.,,xxsel,xxneg
959,anger,"""I was on a farm with a few friends and during the talk I discovered that a friend of mine, was being betrayed by her boyfriend and a 3rd friend of ours.""",,xxoth,xxneg
960,fear,"""I was in about Grade 7, I came home from school one day and was told that my mother had skin cancer and would have to go to the hospital straight away.""",xxfut xxpas,xxsel,xxneg
961,shame,"""When I was hungry, I tried to take the money that my mother had saved up for something else.""",,xxsel,xxneg
962,sadness,When I came back from my holidays.,xxpre xxpas,xxsel,xxneg
963,fear,The same situation as with sadness. I was afraid about what my parents would further do to distroy my relationship.,xxfut xxpas,xxsel,xxneg
964,fear,"""In college, I started a discussion with the teacher referring to a question I posed. I felt very unsure and I was afraid to fail.""",xxfut xxpas,xxsel,xxneg
965,joy,"""When my nephew was born. The birth was hard, it was a big baby.""",xxpre xxpas xxfut,xxsel xxoth,xxpos
966,anger,When I found out that my good friend and roommate did not pay the phone bill and electric bill like he promised and let me down.,,xxoth,xxneg
967,fear,Staying alone in a dark place.,xxfut xxpas,xxsel,xxneg
968,guilt,"""When I laughed at a lame man walking down the road, it looked funny at the time but later I felt lousy.  It was the same day that I had stolen some coins from my mother in the shop.""",xxpre xxpas xxfut,xxoth,xxneg
969,anger,When a boy who was drunk came into my room and misbehaved in the presence of my boyfriend.,,xxoth,xxneg
970,sadness,After my father died suddenly of a heart attack.,xxpre xxpas,xxsel,xxneg
971,sadness,It was shocking news to me when I received a telegram from home telling me that my grandmother had passed away. I had to go home to attend the funeral but unfortunately I found that the burial had already taken place.,xxpre xxpas,xxsel,xxneg
972,sadness,"""Recently, my sister-in-law's horse was poisoned by a plant and died. The horse was very obedient and exceptional with children.""",xxpre xxpas,xxsel,xxneg
973,shame,I ate very fattening food in front of my boyfriend who would like me to lose weight. I am supposedly pursuing a modelling career but first I must lose weight. I had been trying to diet.,,xxsel,xxneg
974,disgust,When a dog is left whining outside a shop.,xxpre xxpas xxfut,xxoth,xxneg
975,anger,"""A friend of mine had promised to arrange me some tickets for a concert which I considered important.  He could not get them the way he thought he would, so he gave up the whole thing.""",,xxoth,xxneg
976,shame,When my friend had a child out of wedlock.,,xxsel,xxneg
977,fear,I have done the teachers training course (B.Ed).  During our training I was asked to handle the ninth standard class in a boys school.  I was scared to face the class the first day.,xxfut xxpas,xxsel,xxneg
978,anger,"""A whole crowd of us went to a folklore festival. The instructor of the cast where my boyfriend played was traveling with us. We decided to catch the train that leaved early in the morning because we had business on the following day. The instructor tried to get the upper hand and made us catch the train in spite of everything, all the time he made me angry.""",,xxoth,xxneg
979,fear,"""After a footballmatch I went home by car, a friend drove. I did not realize that he was drunk until we were in the car. He was madly racing. Several times we were in dangerous situations and I told him to be cautious, but he did not care.""",xxfut xxpas,xxsel,xxneg
